Name: 文化精品, URL: http://117.90.196.35:6000/rtp/239.49.9.11:6000$江苏电信组播源, Date: 2024-12-05, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.232.178.93:5000/rtp/239.49.9.11:6000$江苏电信组播源, Date: 2024-11-25, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://117.90.196.35:6000/rtp/239.49.1.66:6000$江苏电信组播源, Date: 2024-12-05, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.232.178.93:5000/rtp/239.49.1.66:6000$江苏电信组播源, Date: 2024-11-25, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.111:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.189:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-12-06, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.244:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-20, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.191:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-28, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://120.0.52.238:8086/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-29, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://110.241.191.247:808/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-12-07, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.38:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.17:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://101.72.127.38:808/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-16, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.47:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-10-18, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.68:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-12-06, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.197:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-28, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.194:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-12-06, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.144:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.180:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.250:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://101.23.216.69:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-12, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://101.75.215.35:8008/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-10-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.48:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-12-06, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.99.121:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-19, Delay: None ms, Speed: 0.00 M/s, Resolution: None
Name: 文化精品, URL: http://121.24.98.229:8090/rtp/239.253.92.25:6104$河北联通组播源, Date: 2024-11-27, Delay: None ms, Speed: 0.00 M/s, Resolution: None
